,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
3,01_Hokkaido,01395,2000,01_Hokkaido,01395,0103_Niseko-cho,"5,074","2,624","2,450","4,958",116,2.33965,107.10204,197.13,25.7,"2,515","2,511",4,"2,274",241,10.59807,"5,074","4,986",88
3,01_Hokkaido,01396,2000,01_Hokkaido,01396,0104_Makkari-mura,"2,045","1,035","1,010","2,103",-58,-2.75796,102.47525,114.25,17.9,903,900,3,855,48,5.61404,"2,045","1,937",108
3,01_Hokkaido,01397,2000,01_Hokkaido,01397,0105_Rusutsu-mura,"1,911",971,940,"1,907",4,0.20975,103.29787,119.84,15.9,959,956,3,915,44,4.80874,"1,911","1,835",76
3,01_Hokkaido,01398,2000,01_Hokkaido,01398,0106_Kimobetsu-cho,"2,156","1,112","1,044","2,294",-138,-6.01569,106.51341,189.41,11.4,"1,130","1,118",12,"1,123",7,0.62333,"2,156","2,008",148
3,01_Hokkaido,01399,2000,01_Hokkaido,01399,0107_Kyogoku-cho,"2,941","1,420","1,521","3,187",-246,-7.71886,93.35963,231.49,12.7,"1,269","1,265",4,"1,281",-12,-0.93677,"2,941","2,723",218
3,01_Hokkaido,01400,2000,01_Hokkaido,01400,0108_Kutchan-cho,"15,129","7,787","7,342","15,018",111,0.73911,106.06102,261.34,57.9,"7,631","7,602",29,"6,974",657,9.42071,"15,129","14,660",469
3,01_Hokkaido,01401,2000,01_Hokkaido,01401,0109_Kyowa-cho,"5,772","3,047","2,725","6,224",-452,-7.26221,111.81651,304.92,18.9,"2,728","2,723",5,"2,854",-126,-4.41486,"5,772","5,697",75
3,01_Hokkaido,01402,2000,01_Hokkaido,01402,0110_Iwanai-cho,"11,648","5,500","6,148","13,042","-1,394",-10.68854,89.45999,70.60,165.0,"5,750","5,736",14,"6,228",-478,-7.67502,"11,648","11,314",334
3,01_Hokkaido,01403,2000,01_Hokkaido,01403,0111_Tomari-mura,"1,569",784,785,"1,771",-202,-11.40599,99.87261,82.27,19.1,813,808,5,886,-73,-8.23928,"1,569","1,473",96
3,01_Hokkaido,01404,2000,01_Hokkaido,01404,0112_Kamoenai-mura,870,400,470,"1,004",-134,-13.34661,85.10638,147.79,5.9,401,396,5,434,-33,-7.60369,870,753,117
3,01_Hokkaido,01405,2000,01_Hokkaido,01405,0113_Shakotan-cho,"1,831",855,976,"2,115",-284,-13.42790,87.60246,238.13,7.7,883,881,2,994,-111,-11.16700,"1,831","1,799",32
3,01_Hokkaido,01406,2000,01_Hokkaido,01406,0114_Furubira-cho,"2,745","1,307","1,438","3,188",-443,-13.89586,90.89013,188.36,14.6,"1,282","1,246",36,"1,446",-164,-11.34163,"2,745","2,508",237
3,01_Hokkaido,01407,2000,01_Hokkaido,01407,0115_Niki-cho,"3,180","1,526","1,654","3,498",-318,-9.09091,92.26119,167.96,18.9,"1,332","1,310",22,"1,480",-148,-10.00000,"3,180","2,824",356
3,01_Hokkaido,01408,2000,01_Hokkaido,01408,0116_Yoichi-cho,"18,000","8,342","9,658","19,607","-1,607",-8.19605,86.37399,140.59,128.0,"8,283","8,235",48,"8,769",-486,-5.54225,"18,000","16,995","1,005"
3,01_Hokkaido,01409,2000,01_Hokkaido,01409,0117_Akaigawa-mura,"1,165",606,559,"1,121",44,3.92507,108.40787,280.09,4.2,621,614,7,534,87,16.29213,"1,165","1,124",41
3,01_Hokkaido,01423,2000,01_Hokkaido,01423,0118_Nanporo-cho,"7,319","3,461","3,858","7,927",-608,-7.66999,89.70969,81.36,90.0,"2,980","2,966",14,"2,973",7,0.23545,"7,319","7,047",272
3,01_Hokkaido,01424,2000,01_Hokkaido,01424,0119_Naie-cho,"5,120","2,405","2,715","5,674",-554,-9.76384,88.58195,88.19,58.1,"2,312","2,297",15,"2,466",-154,-6.24493,"5,120","4,829",291
3,01_Hokkaido,01425,2000,01_Hokkaido,01425,0120_Kamisunagawa-cho,"2,841","1,292","1,549","3,479",-638,-18.33860,83.40865,39.98,71.1,"1,479","1,475",4,"1,744",-265,-15.19495,"2,841","2,721",120
3,01_Hokkaido,01427,2000,01_Hokkaido,01427,0121_Yuni-cho,"4,822","2,302","2,520","5,314",-492,-9.25856,91.34921,133.74,36.1,"2,063","2,056",7,"2,149",-86,-4.00186,"4,822","4,654",168
3,01_Hokkaido,01428,2000,01_Hokkaido,01428,0122_Naganuma-cho,"10,289","4,919","5,370","11,076",-787,-7.10545,91.60149,168.52,61.1,"4,091","4,070",21,"4,257",-166,-3.89946,"10,289","9,702",587
3,01_Hokkaido,01429,2000,01_Hokkaido,01429,0123_Kuriyama-cho,"11,272","5,176","6,096","12,344","-1,072",-8.68438,84.90814,203.93,55.3,"4,964","4,935",29,"5,186",-222,-4.28076,"11,272","10,734",538
3,01_Hokkaido,01430,2000,01_Hokkaido,01430,0124_Tsukigata-cho,"3,691","2,185","1,506","4,577",-886,-19.35766,145.08632,150.40,24.5,"1,320","1,293",27,"1,466",-146,-9.95907,"3,691","2,642","1,049"
3,01_Hokkaido,01431,2000,01_Hokkaido,01431,0125_Urausu-cho,"1,732",845,887,"1,985",-253,-12.74559,95.26494,101.83,17.0,777,773,4,850,-73,-8.58824,"1,732","1,668",64
3,01_Hokkaido,01432,2000,01_Hokkaido,01432,0126_Shintotsukawa-cho,"6,484","2,976","3,508","6,831",-347,-5.07978,84.83466,495.47,13.1,"2,543","2,529",14,"2,570",-27,-1.05058,"6,484","6,048",436
3,01_Hokkaido,01433,2000,01_Hokkaido,01433,0127_Moseushi-cho,"2,693","1,290","1,403","3,091",-398,-12.87609,91.94583,48.64,55.4,"1,201","1,198",3,"1,269",-68,-5.35855,"2,693","2,635",58
3,01_Hokkaido,01434,2000,01_Hokkaido,01434,0128_Chippubetsu-cho,"2,329","1,072","1,257","2,513",-184,-7.32193,85.28242,47.18,49.4,982,977,5,"1,017",-35,-3.44149,"2,329","2,198",131
3,01_Hokkaido,01436,2000,01_Hokkaido,01436,0129_Uryu-cho,"2,389","1,165","1,224","2,749",-360,-13.09567,95.17974,191.15,12.5,926,920,6,"1,005",-79,-7.86070,"2,389","2,089",300
3,01_Hokkaido,01437,2000,01_Hokkaido,01437,0130_Hokuryu-cho,"1,724",823,901,"1,981",-257,-12.97325,91.34295,158.70,10.9,737,733,4,782,-45,-5.75448,"1,724","1,633",91
3,01_Hokkaido,01438,2000,01_Hokkaido,01438,0131_Numata-cho,"2,909","1,392","1,517","3,181",-272,-8.55077,91.76005,283.35,10.3,"1,244","1,239",5,"1,333",-89,-6.67667,"2,909","2,717",192
3,01_Hokkaido,01452,2000,01_Hokkaido,01452,0132_Takasu-cho,"6,567","3,105","3,462","7,018",-451,-6.42633,89.68804,139.42,47.1,"2,658","2,649",9,"2,717",-59,-2.17151,"6,567","6,378",189
3,01_Hokkaido,01453,2000,01_Hokkaido,01453,0133_Higashikagura-cho,"10,127","4,702","5,425","10,233",-106,-1.03586,86.67281,68.50,147.8,"3,840","3,830",10,"3,657",183,5.00410,"10,127","9,655",472
3,01_Hokkaido,01454,2000,01_Hokkaido,01454,0134_Tohma-cho,"6,319","2,912","3,407","6,689",-370,-5.53147,85.47109,204.90,30.8,"2,773","2,756",17,"2,698",75,2.77984,"6,319","6,007",312
3,01_Hokkaido,01455,2000,01_Hokkaido,01455,0135_Pippu-cho,"3,520","1,662","1,858","3,777",-257,-6.80434,89.45102,86.90,40.5,"1,570","1,563",7,"1,586",-16,-1.00883,"3,520","3,404",116
3,01_Hokkaido,01456,2000,01_Hokkaido,01456,0136_Aibetsu-cho,"2,605","1,215","1,390","2,976",-371,-12.46640,87.41007,250.13,10.4,"1,189","1,185",4,"1,305",-116,-8.88889,"2,605","2,516",89
3,01_Hokkaido,01457,2000,01_Hokkaido,01457,0137_Kamikawa-cho,"3,500","1,708","1,792","4,044",-544,-13.45203,95.31250,"1,049.47",3.3,"1,913","1,901",12,"2,102",-189,-8.99144,"3,500","3,420",80
3,01_Hokkaido,01458,2000,01_Hokkaido,01458,0138_Higashikawa-cho,"8,314","3,877","4,437","8,111",203,2.50277,87.37886,247.30,33.6,"3,405","3,391",14,"3,148",257,8.16391,"8,314","7,825",489
3,01_Hokkaido,01459,2000,01_Hokkaido,01459,0139_Biei-cho,"9,668","4,495","5,173","10,292",-624,-6.06296,86.89349,676.78,14.3,"4,213","4,205",8,"4,288",-75,-1.74907,"9,668","9,461",207
3,01_Hokkaido,01460,2000,01_Hokkaido,01460,0140_Kamifurano-cho,"10,348","5,363","4,985","10,826",-478,-4.41530,107.58275,237.10,43.6,"4,287","4,238",49,"4,363",-76,-1.74192,"10,348","9,463",885
3,01_Hokkaido,01461,2000,01_Hokkaido,01461,0141_Nakafurano-cho,"4,733","2,260","2,473","5,069",-336,-6.62853,91.38698,108.65,43.6,"1,977","1,972",5,"2,025",-48,-2.37037,"4,733","4,622",111
3,01_Hokkaido,01462,2000,01_Hokkaido,01462,0142_Minamifurano-cho,"2,376","1,228","1,148","2,555",-179,-7.00587,106.96864,665.54,3.6,"1,075","1,061",14,"1,132",-57,-5.03534,"2,376","2,102",274
3,01_Hokkaido,01463,2000,01_Hokkaido,01463,0143_Shimukappu-mura,"1,306",653,653,"1,211",95,7.84476,100.00000,571.41,2.3,849,849,-,704,145,20.59659,"1,306","1,306",-
3,01_Hokkaido,01464,2000,01_Hokkaido,01464,0144_Wassamu-cho,"3,192","1,497","1,695","3,596",-404,-11.23471,88.31858,225.11,14.2,"1,429","1,424",5,"1,533",-104,-6.78408,"3,192","3,072",120
3,01_Hokkaido,01465,2000,01_Hokkaido,01465,0145_Kembuchi-cho,"2,926","1,425","1,501","3,228",-302,-9.35564,94.93671,130.99,22.3,"1,227","1,215",12,"1,330",-103,-7.74436,"2,926","2,714",212
3,01_Hokkaido,01468,2000,01_Hokkaido,01468,0146_Shimokawa-cho,"3,126","1,491","1,635","3,547",-421,-11.86919,91.19266,644.20,4.9,"1,473","1,463",10,"1,674",-201,-12.00717,"3,126","2,939",187
3,01_Hokkaido,01469,2000,01_Hokkaido,01469,0147_Bifuka-cho,"4,145","2,038","2,107","4,659",-514,-11.03241,96.72520,672.09,6.2,"1,912","1,890",22,"2,041",-129,-6.32043,"4,145","3,784",361
3,01_Hokkaido,01470,2000,01_Hokkaido,01470,0148_Otoineppu-mura,706,365,341,832,-126,-15.14423,107.03812,275.63,2.6,347,344,3,405,-58,-14.32099,706,583,123
3,01_Hokkaido,01471,2000,01_Hokkaido,01471,0149_Nakagawa-cho,"1,528",805,723,"1,767",-239,-13.52575,111.34163,594.74,2.6,822,819,3,897,-75,-8.36120,"1,528","1,475",53
3,01_Hokkaido,01439,,01_Hokkaido,01472,0150_Horokanai-cho,"1,370",681,689,"1,525",-155,-10.16393,98.83890,767.04,1.8,667,663,4,690,-23,-3.33333,"1,370","1,294",76
9,01_Hokkaido,01439,2000,01_Hokkaido,01472,0151_(Municipalities as of 2000) Horokanai-cho,"1,370",681,689,"1,525",-155,-10.16393,98.83890,767.03,1.8,667,663,4,690,-23,-3.33333,"1,370","1,294",76
3,01_Hokkaido,01481,2000,01_Hokkaido,01481,0152_Mashike-cho,"3,908","1,776","2,132","4,497",-589,-13.09762,83.30206,369.71,10.6,"1,878","1,870",8,"2,051",-173,-8.43491,"3,908","3,783",125
3,01_Hokkaido,01482,2000,01_Hokkaido,01482,0153_Obira-cho,"2,994","1,431","1,563","3,336",-342,-10.25180,91.55470,627.22,4.8,"1,366","1,354",12,"1,406",-40,-2.84495,"2,994","2,774",220
3,01_Hokkaido,01483,2000,01_Hokkaido,01483,0154_Tomamae-cho,"2,936","1,428","1,508","3,265",-329,-10.07657,94.69496,454.60,6.5,"1,347","1,336",11,"1,420",-73,-5.14085,"2,936","2,843",93
3,01_Hokkaido,01484,2000,01_Hokkaido,01484,0155_Haboro-cho,"6,548","3,163","3,385","7,327",-779,-10.63191,93.44165,472.65,13.9,"3,143","3,137",6,"3,367",-224,-6.65281,"6,548","6,337",211
3,01_Hokkaido,01485,2000,01_Hokkaido,01485,0156_Shosambetsu-mura,"1,080",518,562,"1,217",-137,-11.25719,92.17082,279.52,3.9,498,491,7,537,-39,-7.26257,"1,080",984,96
3,01_Hokkaido,01486,2000,01_Hokkaido,01486,0157_Embetsu-cho,"2,520","1,222","1,298","2,806",-286,-10.19244,94.14484,590.80,4.3,"1,200","1,196",4,"1,225",-25,-2.04082,"2,520","2,396",124
3,01_Hokkaido,01487,2000,01_Hokkaido,01487,0158_Teshio-cho,"2,950","1,478","1,472","3,243",-293,-9.03484,100.40761,353.56,8.3,"1,425","1,421",4,"1,502",-77,-5.12650,"2,950","2,864",86
3,01_Hokkaido,01511,2000,01_Hokkaido,01511,0159_Sarufutsu-mura,"2,611","1,285","1,326","2,684",-73,-2.71982,96.90799,589.99,4.4,"1,238","1,236",2,"1,174",64,5.45145,"2,611","2,573",38
3,01_Hokkaido,01512,2000,01_Hokkaido,01512,0160_Hamatonbetsu-cho,"3,448","1,675","1,773","3,881",-433,-11.15692,94.47265,401.64,8.6,"1,716","1,711",5,"1,845",-129,-6.99187,"3,448","3,321",127
3,01_Hokkaido,01513,2000,01_Hokkaido,01513,0161_Nakatombetsu-cho,"1,637",818,819,"1,757",-120,-6.82982,99.87790,398.51,4.1,756,745,11,775,-19,-2.45161,"1,637","1,475",162
3,01_Hokkaido,01514,,01_Hokkaido,01514,0162_Esashi-cho,"7,565","3,600","3,965","8,437",-872,-10.33543,90.79445,"1,115.93",6.8,"3,515","3,510",5,"3,772",-257,-6.81336,"7,565","7,449",116
9,01_Hokkaido,01514,2000,01_Hokkaido,01514,0163_(Municipalities as of 2000) Esashi-cho,"6,067","2,884","3,183","6,712",-645,-9.60965,90.60635,509.13,11.9,"2,797","2,794",3,"2,961",-164,-5.53867,"6,067","6,016",51
9,01_Hokkaido,01515,2000,01_Hokkaido,01514,0164_(Municipalities as of 2000) Utanobori-cho,"1,498",716,782,"1,725",-227,-13.15942,91.56010,606.51,2.5,718,716,2,811,-93,-11.46732,"1,498","1,433",65
3,01_Hokkaido,01516,2000,01_Hokkaido,01516,0165_Toyotomi-cho,"3,974","2,098","1,876","4,054",-80,-1.97336,111.83369,520.69,7.6,"1,951","1,938",13,"1,782",169,9.48373,"3,974","3,825",149
3,01_Hokkaido,01517,2000,01_Hokkaido,01517,0166_Rebun-cho,"2,509","1,284","1,225","2,773",-264,-9.52038,104.81633,81.64,30.7,"1,246","1,240",6,"1,353",-107,-7.90835,"2,509","2,452",57
3,01_Hokkaido,01518,2000,01_Hokkaido,01518,0167_Rishiri-cho,"2,004",994,"1,010","2,303",-299,-12.98307,98.41584,76.50,26.2,"1,037","1,034",3,"1,154",-117,-10.13865,"2,004","1,958",46
3,01_Hokkaido,01519,2000,01_Hokkaido,01519,0168_Rishirifuji-cho,"2,458","1,188","1,270","2,787",-329,-11.80481,93.54331,105.62,23.3,"1,199","1,193",6,"1,264",-65,-5.14241,"2,458","2,371",87
3,01_Hokkaido,01488,,01_Hokkaido,01520,0169_Horonobe-cho,"2,371","1,290","1,081","2,447",-76,-3.10584,119.33395,574.10,4.1,"1,225","1,133",92,"1,138",87,7.64499,"2,371","2,138",233
9,01_Hokkaido,01488,2000,01_Hokkaido,01520,0170_(Municipalities as of 2000) Horonobe-cho,"2,371","1,290","1,081","2,447",-76,-3.10584,119.33395,574.52,4.1,"1,225","1,133",92,"1,138",87,7.64499,"2,371","2,138",233
3,01_Hokkaido,01543,2000,01_Hokkaido,01543,0171_Bihoro-cho,"18,697","9,063","9,634","20,296","-1,599",-7.87840,94.07307,438.41,42.6,"8,309","8,281",28,"8,626",-317,-3.67494,"18,697","17,984",713
3,01_Hokkaido,01544,2000,01_Hokkaido,01544,0172_Tsubetsu-cho,"4,373","2,096","2,277","5,008",-635,-12.67971,92.05094,716.80,6.1,"2,043","2,036",7,"2,231",-188,-8.42671,"4,373","4,245",128
3,01_Hokkaido,01545,2000,01_Hokkaido,01545,0173_Shari-cho,"11,418","5,672","5,746","12,231",-813,-6.64704,98.71215,737.13,15.5,"5,349","5,336",13,"5,547",-198,-3.56950,"11,418","11,207",211
3,01_Hokkaido,01546,2000,01_Hokkaido,01546,0174_Kiyosato-cho,"3,883","1,882","2,001","4,221",-338,-8.00758,94.05297,402.76,9.6,"1,591","1,587",4,"1,671",-80,-4.78755,"3,883","3,725",158
3,01_Hokkaido,01547,2000,01_Hokkaido,01547,0175_Koshimizu-cho,"4,623","2,207","2,416","5,085",-462,-9.08555,91.34934,286.89,16.1,"1,966","1,961",5,"2,033",-67,-3.29562,"4,623","4,500",123
3,01_Hokkaido,01549,2000,01_Hokkaido,01549,0176_Kunneppu-cho,"4,677","2,241","2,436","5,100",-423,-8.29412,91.99507,190.95,24.5,"1,873","1,868",5,"1,910",-37,-1.93717,"4,677","4,564",113
3,01_Hokkaido,01550,2000,01_Hokkaido,01550,0177_Oketo-cho,"2,775","1,281","1,494","3,092",-317,-10.25226,85.74297,527.27,5.3,"1,202","1,197",5,"1,304",-102,-7.82209,"2,775","2,544",231
3,01_Hokkaido,01552,2000,01_Hokkaido,01552,0178_Saroma-cho,"4,875","2,296","2,579","5,362",-487,-9.08243,89.02675,404.94,12.0,"2,266","2,260",6,"2,311",-45,-1.94721,"4,875","4,727",148
3,01_Hokkaido,01555,,01_Hokkaido,01555,0179_Engaru-cho,"19,241","9,337","9,904","20,873","-1,632",-7.81871,94.27504,"1,332.45",14.4,"8,813","8,739",74,"9,278",-465,-5.01186,"19,241","18,033","1,208"
9,01_Hokkaido,01554,2000,01_Hokkaido,01555,0180_(Municipalities as of 2000) Ikutahara-cho,"1,582",792,790,"1,896",-314,-16.56118,100.25316,269.36,5.9,701,688,13,805,-104,-12.91925,"1,582","1,334",248
9,01_Hokkaido,01555,2000,01_Hokkaido,01555,0181_(Municipalities as of 2000) Engaru-cho,"15,859","7,730","8,129","16,816",-957,-5.69101,95.09165,209.87,75.6,"7,221","7,163",58,"7,434",-213,-2.86521,"15,859","15,020",839
9,01_Hokkaido,01556,2000,01_Hokkaido,01555,0182_(Municipalities as of 2000) Maruseppu-cho,"1,214",536,678,"1,471",-257,-17.47111,79.05605,510.13,2.4,589,587,2,685,-96,-14.01460,"1,214","1,106",108
9,01_Hokkaido,01557,2000,01_Hokkaido,01555,0183_(Municipalities as of 2000) Shirataki-mura,586,279,307,690,-104,-15.07246,90.87948,342.96,1.7,302,301,1,354,-52,-14.68927,586,573,13
3,01_Hokkaido,01559,,01_Hokkaido,01559,0184_Yubetsu-cho,"8,270","3,947","4,323","9,231",-961,-10.41057,91.30234,505.79,16.4,"3,692","3,678",14,"3,861",-169,-4.37710,"8,270","8,024",246
9,01_Hokkaido,01558,2000,01_Hokkaido,01559,0185_(Municipalities as of 2000) Kamiyubetsu-cho,"4,467","2,079","2,388","5,031",-564,-11.21049,87.06030,161.39,27.7,"2,057","2,049",8,"2,172",-115,-5.29466,"4,467","4,314",153
9,01_Hokkaido,01559,2000,01_Hokkaido,01559,0186_(Municipalities as of 2000) Yubetsu-cho,"3,803","1,868","1,935","4,200",-397,-9.45238,96.53747,344.34,11.0,"1,635","1,629",6,"1,689",-54,-3.19716,"3,803","3,710",93
3,01_Hokkaido,01560,2000,01_Hokkaido,01560,0187_Takinoue-cho,"2,421","1,177","1,244","2,721",-300,-11.02536,94.61415,766.89,3.2,"1,201","1,197",4,"1,295",-94,-7.25869,"2,421","2,271",150
3,01_Hokkaido,01561,2000,01_Hokkaido,01561,0188_Okoppe-cho,"3,628","1,768","1,860","3,909",-281,-7.18854,95.05376,362.54,10.0,"1,725","1,716",9,"1,757",-32,-1.82129,"3,628","3,592",36
3,01_Hokkaido,01562,2000,01_Hokkaido,01562,0189_Nishiokoppe-mura,"1,053",520,533,"1,116",-63,-5.64516,97.56098,308.08,3.4,499,491,8,501,-2,-0.39920,"1,053",874,179
3,01_Hokkaido,01563,2000,01_Hokkaido,01563,0190_Oumu-cho,"4,199","1,999","2,200","4,525",-326,-7.20442,90.86364,636.89,6.6,"2,052","2,050",2,"2,062",-10,-0.48497,"4,199","4,127",72
3,01_Hokkaido,01564,,01_Hokkaido,01564,0191_Ozora-cho,"6,775","3,287","3,488","7,360",-585,-7.94837,94.23739,343.66,19.7,"2,750","2,738",12,"2,874",-124,-4.31454,"6,775","6,565",210
9,01_Hokkaido,01541,2000,01_Hokkaido,01564,0192_(Municipalities as of 2000) Higashimokoto-mura,"2,124","1,011","1,113","2,312",-188,-8.13149,90.83558,184.38,11.5,862,856,6,912,-50,-5.48246,"2,124","2,028",96
9,01_Hokkaido,01542,2000,01_Hokkaido,01564,0193_(Municipalities as of 2000) Memambetsu-cho,"4,651","2,276","2,375","5,048",-397,-7.86450,95.83158,159.24,29.2,"1,888","1,882",6,"1,962",-74,-3.77166,"4,651","4,537",114
3,01_Hokkaido,01571,2000,01_Hokkaido,01571,0194_Toyoura-cho,"3,821","1,781","2,040","4,291",-470,-10.95316,87.30392,233.57,16.4,"1,774","1,754",20,"1,973",-199,-10.08616,"3,821","3,453",368
3,01_Hokkaido,01575,2000,01_Hokkaido,01575,0195_Sobetsu-cho,"2,743","1,285","1,458","2,922",-179,-6.12594,88.13443,205.01,13.4,"1,170","1,160",10,"1,168",2,0.17123,"2,743","2,285",458
3,01_Hokkaido,01578,2000,01_Hokkaido,01578,0196_Shiraoi-cho,"16,212","7,706","8,506","17,740","-1,528",-8.61330,90.59487,425.64,38.1,"7,688","7,640",48,"7,955",-267,-3.35638,"16,212","15,139","1,073"
3,01_Hokkaido,01581,2000,01_Hokkaido,01581,0197_Atsuma-cho,"4,432","2,249","2,183","4,838",-406,-8.39190,103.02336,404.61,11.0,"1,930","1,924",6,"2,126",-196,-9.21919,"4,432","4,305",127
3,01_Hokkaido,01584,,01_Hokkaido,01584,0198_Toyako-cho,"8,442","3,909","4,533","9,299",-857,-9.21604,86.23428,180.87,46.7,"4,030","4,009",21,"4,240",-210,-4.95283,"8,442","7,809",633
9,01_Hokkaido,01572,2000,01_Hokkaido,01584,0199_(Municipalities as of 2000) Abuta-cho,"6,874","3,173","3,701","7,648",-774,-10.12029,85.73359,66.85,102.8,"3,395","3,378",17,"3,584",-189,-5.27344,"6,874","6,470",404
9,01_Hokkaido,01573,2000,01_Hokkaido,01584,0200_(Municipalities as of 2000) Toya-mura,"1,568",736,832,"1,651",-83,-5.02726,88.46154,113.69,13.8,635,631,4,656,-21,-3.20122,"1,568","1,339",229
3,01_Hokkaido,01585,,01_Hokkaido,01585,0201_Abira-cho,"7,340","3,632","3,708","8,148",-808,-9.91654,97.95038,237.16,30.9,"3,451","3,435",16,"3,651",-200,-5.47795,"7,340","7,033",307
9,01_Hokkaido,01579,2000,01_Hokkaido,01585,0202_(Municipalities as of 2000) Hayakita-cho,"4,358","2,192","2,166","4,737",-379,-8.00084,101.20037,154.61,28.2,"1,955","1,945",10,"2,042",-87,-4.26053,"4,358","4,119",239
9,01_Hokkaido,01580,2000,01_Hokkaido,01585,0203_(Municipalities as of 2000) Oiwake-cho,"2,982","1,440","1,542","3,411",-429,-12.57696,93.38521,82.52,36.1,"1,496","1,490",6,"1,609",-113,-7.02300,"2,982","2,914",68
3,01_Hokkaido,01586,,01_Hokkaido,01586,0204_Mukawa-cho,"7,651","3,779","3,872","8,596",-945,-10.99349,97.59814,711.36,10.8,"3,647","3,635",12,"3,784",-137,-3.62051,"7,651","7,336",315
9,01_Hokkaido,01582,2000,01_Hokkaido,01586,0205_(Municipalities as of 2000) Mukawa-cho,"5,253","2,606","2,647","5,847",-594,-10.15906,98.45108,166.43,31.6,"2,539","2,537",2,"2,575",-36,-1.39806,"5,253","5,150",103
9,01_Hokkaido,01583,2000,01_Hokkaido,01586,0206_(Municipalities as of 2000) Hobetsu-cho,"2,398","1,173","1,225","2,749",-351,-12.76828,95.75510,546.48,4.4,"1,108","1,098",10,"1,209",-101,-8.35401,"2,398","2,186",212
3,01_Hokkaido,01601,,01_Hokkaido,01601,0207_Hidaka-cho,"11,279","5,712","5,567","12,378","-1,099",-8.87866,102.60463,992.14,11.4,"5,552","5,510",42,"5,781",-229,-3.96125,"11,279","10,886",393
9,01_Hokkaido,01601,2000,01_Hokkaido,01601,0208_(Municipalities as of 2000) Hidaka-cho,"1,347",703,644,"1,503",-156,-10.37924,109.16149,563.95,2.4,710,705,5,763,-53,-6.94626,"1,347","1,264",83
9,01_Hokkaido,01603,2000,01_Hokkaido,01601,0209_(Municipalities as of 2000) Mombetsu-cho,"9,932","5,009","4,923","10,875",-943,-8.67126,101.74690,428.73,23.2,"4,842","4,805",37,"5,018",-176,-3.50737,"9,932","9,622",310
3,01_Hokkaido,01602,2000,01_Hokkaido,01602,0210_Biratori-cho,"4,776","2,395","2,381","5,315",-539,-10.14111,100.58799,743.09,6.4,"2,288","2,167",121,"2,373",-85,-3.58196,"4,776","4,445",331
3,01_Hokkaido,01604,2000,01_Hokkaido,01604,0211_Niikappu-cho,"5,309","2,603","2,706","5,592",-283,-5.06080,96.19364,585.81,9.1,"2,443","2,416",27,"2,405",38,1.58004,"5,309","5,053",256
3,01_Hokkaido,01607,2000,01_Hokkaido,01607,0212_Urakawa-cho,"12,074","5,975","6,099","13,075","-1,001",-7.65583,97.96688,694.26,17.4,"5,936","5,888",48,"6,178",-242,-3.91713,"12,074","11,504",570
3,01_Hokkaido,01608,2000,01_Hokkaido,01608,0213_Samani-cho,"4,043","1,923","2,120","4,518",-475,-10.51350,90.70755,364.30,11.1,"1,913","1,909",4,"2,044",-131,-6.40900,"4,043","3,956",87
3,01_Hokkaido,01609,2000,01_Hokkaido,01609,0214_Erimo-cho,"4,374","2,230","2,144","4,906",-532,-10.84386,104.01119,284.00,15.4,"1,822","1,815",7,"1,929",-107,-5.54692,"4,374","4,236",138
3,01_Hokkaido,01610,,01_Hokkaido,01610,0215_Shinhidaka-cho,"21,517","10,473","11,044","23,231","-1,714",-7.37807,94.82977,"1,147.55",18.8,"10,176","10,119",57,"10,443",-267,-2.55674,"21,517","20,576",941
9,01_Hokkaido,01605,2000,01_Hokkaido,01610,0216_(Municipalities as of 2000) Shizunai-cho,"18,041","8,816","9,225","19,298","-1,257",-6.51363,95.56640,801.50,22.5,"8,619","8,568",51,"8,796",-177,-2.01228,"18,041","17,202",839
9,01_Hokkaido,01606,2000,01_Hokkaido,01610,0217_(Municipalities as of 2000) Mitsuishi-cho,"3,476","1,657","1,819","3,933",-457,-11.61963,91.09401,346.22,10.0,"1,557","1,551",6,"1,647",-90,-5.46448,"3,476","3,374",102
3,01_Hokkaido,01631,2000,01_Hokkaido,01631,0218_Otofuke-cho,"43,576","20,630","22,946","44,807","-1,231",-2.74734,89.90674,466.02,93.5,"18,362","18,302",60,"18,019",343,1.90355,"43,576","42,171","1,405"
3,01_Hokkaido,01632,2000,01_Hokkaido,01632,0219_Shihoro-cho,"5,848","2,891","2,957","6,132",-284,-4.63144,97.76801,259.19,22.6,"2,524","2,519",5,"2,479",45,1.81525,"5,848","5,665",183
